posteam,epa
NE,-0.239281069166164
LV,-0.353416312718764
LV,-1.03562085318845
LV,-1.07880948600359
NE,0.0340092258993536
LV,0.0042811044841073
LV,0.0304643654089887
LV,0.119080656295409
LV,0.138182784605306
NE,0.164001242723316
NE,0.948577496223152
NE,0.34117498062551
NE,0.829492388758808
NE,-0.313522665994242
NE,-3.67854417092167
LV,1.45476727071218
LV,2.30153837532271
LV,1.406895330525
NE,-0.504377197707072
NE,-1.16928982920945
NE,-1.24315622448921
LV,2.11553080310114
LV,-1.67888587387279
LV,-1.06463119154796
NE,-0.728616224136204
NE,-1.72662617219612
LV,0.710535226855427
LV,2.54122440388892
LV,-0.990668859682046
LV,0.45074764917199
NE,0.716849026270211
NE,-0.848277823533863
NE,1.64200090314262
NE,-0.842884562909603
NE,-1.32933220104314
LV,0.57531014457345
LV,1.73364110663533
LV,-0.474649630719796
LV,-0.607004307908937
LV,2.45726942934562
NE,-0.500577993690968
NE,1.68375451420434
NE,-1.38034790125676
NE,-0.749239443335682
NE,-0.265674260095693
NE,-0.319041163485963
IND,0.877040951047093
IND,-0.536576300859451
IND,0.255613200832158
IND,1.64835193043109
IND,1.1237228398677
IND,-0.787946189229842
IND,-1.27170230996824
MIA,-0.0147173665463924
MIA,-0.22772103943862
MIA,-2.80697269248776
IND,0.0336473202332854
IND,1.5912649910897
IND,0.450388953555375
IND,1.60881314333528
IND,-1.72219854453579
