team,week,season,n_games,n_plays,n_dropbacks,n_rushes,epa_per_play,epa_per_dropback,epa_per_rush,success_rate,def_epa_per_play,def_epa_per_dropback,def_epa_per_rush,def_success_rate_allowed
CIN,2,2025,1,65,48,17,-0.00717,-0.03809,0.08014,0.43077,-0.09294,-0.09042,-0.09720,0.50000
CIN,3,2025,1,40,24,16,-0.94482,-1.37353,-0.30175,0.25000,-0.29037,-0.29429,-0.28571,0.60870
CIN,4,2025,1,35,23,12,-0.20777,-0.29811,-0.03462,0.37143,-0.23938,-0.33548,-0.05198,0.50847
CIN,5,2025,1,44,32,12,-0.40350,-0.48313,-0.19116,0.36364,-0.27293,-0.51236,-0.03350,0.52273
CIN,6,2025,1,48,33,15,0.01235,0.04356,-0.05630,0.45833,-0.23592,-0.32327,-0.13513,0.58929
CIN,7,2025,1,69,49,20,0.32944,0.30906,0.37938,0.50725,-0.36489,-0.38825,-0.32184,0.50000
CIN,8,2025,1,58,36,22,0.26451,0.15898,0.43721,0.58621,-0.32992,-0.38809,-0.26810,0.62121
CIN,9,2025,1,52,38,14,0.21687,0.34217,-0.12323,0.48077,-0.48979,-0.46474,-0.52867,0.58108
CIN,11,2025,1,52,32,20,-0.10828,-0.22351,0.07609,0.30769,-0.15070,-0.24009,-0.03410,0.43396
CIN,12,2025,1,61,38,23,-0.19337,-0.35382,0.07171,0.45902,-0.00357,-0.22643,0.31835,0.46970
CIN,13,2025,1,67,47,20,0.08935,0.13582,-0.01983,0.40299,0.25907,0.54757,-0.31792,0.40476
CIN,14,2025,1,54,35,19,0.01777,0.06740,-0.07364,0.48148,-0.25490,-0.64470,0.43188,0.56897
CIN,15,2025,1,45,29,16,-0.27583,-0.44238,0.02604,0.37778,-0.18138,-0.07398,-0.29509,0.45714
CIN,16,2025,1,52,33,19,0.46367,0.54326,0.32544,0.63462,0.22724,0.22139,0.23405,0.28205
CIN,17,2025,1,60,35,25,0.39616,0.53086,0.20758,0.51667,0.29995,0.29008,0.32189,0.27586
CIN,18,2025,1,67,43,24,-0.11327,-0.27537,0.17717,0.58209,0.12540,0.28024,-0.08576,0.34615
CLE,1,2025,1,71,48,23,-0.05120,-0.04428,-0.06565,0.39437,0.10887,0.07058,0.15992,0.40816
CLE,2,2025,1,48,34,14,-0.25871,-0.38169,0.03997,0.27083,-0.08184,-0.23307,0.24080,0.40426
CLE,3,2025,1,56,37,19,-0.15162,-0.24796,0.03599,0.28571,0.07904,0.03154,0.12981,0.36667
CLE,4,2025,1,53,31,22,-0.26786,-0.40506,-0.07454,0.30189,0.19886,0.23262,0.15760,0.40000
CLE,5,2025,1,66,35,31,-0.01141,-0.07456,0.05988,0.39394,-0.03648,-0.25225,0.42912,0.48333
CLE,6,2025,1,41,30,11,-0.19612,-0.15722,-0.30222,0.36585,-0.21470,-0.34635,-0.02381,0.44898
CLE,7,2025,1,40,15,25,0.05538,0.40546,-0.15466,0.30000,0.45046,0.67462,0.14719,0.22500
CLE,8,2025,1,35,23,12,-0.35061,-0.58891,0.10613,0.25714,-0.16949,-0.29565,0.03634,0.52000
CLE,10,2025,1,69,42,27,-0.12058,-0.12047,-0.12075,0.33333,0.25342,0.49812,0.09028,0.25000
CLE,11,2025,1,54,33,21,-0.40911,-0.53836,-0.20600,0.29630,0.08833,0.33792,-0.19824,0.43103
CLE,12,2025,1,37,19,18,-0.32351,-0.45449,-0.18525,0.27027,0.51014,0.48990,0.55287,0.21429
CLE,13,2025,1,46,17,29,-0.09791,0.09432,-0.21060,0.50000,-0.02343,-0.05564,0.01717,0.34615
CLE,14,2025,1,64,46,18,-0.06574,0.04252,-0.34240,0.42188,0.06657,0.30289,-0.15450,0.36667
CLE,15,2025,1,35,25,10,-0.57222,-0.64897,-0.38032,0.08571,-0.14612,-0.23440,-0.05783,0.50000
CLE,16,2025,1,64,37,27,-0.09588,-0.26376,0.13418,0.46875,-0.06078,0.34324,-0.43248,0.54167
CLE,17,2025,1,47,28,19,-0.23796,-0.18093,-0.32200,0.34043,0.20443,0.31443,0.01312,0.41270
CLE,18,2025,1,52,30,22,-0.12540,-0.28024,0.08576,0.34615,0.11327,0.27537,-0.17717,0.58209
DAL,1,2025,1,55,34,21,0.03528,0.02685,0.04893,0.45455,-0.16045,-0.24953,-0.04738,0.50847
DAL,2,2025,1,83,57,26,0.13370,0.16888,0.05656,0.45783,-0.22168,-0.39575,0.16997,0.46154
DAL,3,2025,1,41,25,16,0.11405,0.17774,0.01454,0.51220,-0.42723,-0.81694,-0.01982,0.51111
DAL,4,2025,1,67,41,26,0.35807,0.54709,0.05998,0.55224,-0.34133,-0.52534,-0.07682,0.55128
DAL,5,2025,1,44,25,19,0.44196,0.54243,0.30975,0.47727,0.24208,0.27668,0.17056,0.41304
DAL,6,2025,1,52,34,18,0.17961,0.52192,-0.46697,0.40385,-0.15938,-0.10509,-0.20127,0.58065
DAL,7,2025,1,48,30,18,0.21864,0.31380,0.06004,0.45833,0.15463,0.38939,-0.19750,0.47273
DAL,8,2025,1,52,32,20,0.05521,0.07742,0.01967,0.50000,-0.35663,-0.32704,-0.38951,0.60526
DAL,9,2025,1,52,36,16,-0.14271,-0.21559,0.02127,0.40385,-0.25300,-0.34444,-0.10932,0.50000
DAL,11,2025,1,46,27,19,0.31524,0.47766,0.08444,0.60870,0.17726,0.21428,-0.04486,0.42857
DAL,12,2025,1,65,39,26,-0.02156,0.14066,-0.26489,0.43077,-0.06195,-0.10919,0.07347,0.41379
DAL,13,2025,1,63,40,23,0.23159,0.39017,-0.04421,0.46032,-0.24284,-0.44338,0.14819,0.44068
DAL,14,2025,1,69,47,22,0.00946,0.01015,0.00798,0.43478,-0.30054,-0.34851,-0.21216,0.48148
DAL,15,2025,1,65,36,29,0.09388,-0.01718,0.23176,0.46154,-0.27367,-0.52640,0.05488,0.50000
