team,season,side,split,n,mean,p10,p25,median,p75,p90,share_neg_epa,share_chunk_epa
TEN,2025,offense,all,796,-0.18127,-1.42912,-0.75574,-0.32209,0.44285,1.39996,0.64322,0.14698
TEN,2025,offense,dropback,492,-0.19428,-1.61459,-0.86913,-0.39529,0.63188,1.75552,0.63618,0.19309
TEN,2025,offense,rush,304,-0.16021,-0.90625,-0.53112,-0.26079,0.28032,0.72013,0.65461,0.07237
TEN,2025,defense,all,852,-0.14064,-1.76046,-0.83096,0.08484,0.59320,1.17212,0.47066,0.12324
TEN,2025,defense,dropback,535,-0.21643,-2.17948,-1.17387,-0.01267,0.70496,1.35839,0.50093,0.15327
TEN,2025,defense,rush,317,-0.01273,-0.97166,-0.49157,0.15268,0.52332,0.81236,0.41956,0.07256
WAS,2025,offense,all,842,-0.00229,-1.33075,-0.65482,-0.13118,0.73420,1.71960,0.54988,0.18884
WAS,2025,offense,dropback,498,0.02706,-1.56960,-0.80926,-0.14751,1.04124,2.10672,0.52811,0.25904
WAS,2025,offense,rush,344,-0.04477,-0.83856,-0.49786,-0.11567,0.46848,0.97072,0.58140,0.08721
WAS,2025,defense,all,936,-0.14883,-1.69515,-0.89267,0.06539,0.57561,1.08210,0.48825,0.11645
WAS,2025,defense,dropback,553,-0.21352,-2.02772,-1.09301,-0.00451,0.66561,1.29930,0.50090,0.14828
WAS,2025,defense,rush,383,-0.05542,-1.21338,-0.59028,0.08036,0.47756,0.84275,0.46997,0.07050
