Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status
WR,Cody White (44248232),Cody White,44248232,WR/FLEX,3200,LV@NO 09/27/2026 04:25PM ET,LV,8.2,
WR,Dyami Brown (44248234),Dyami Brown,44248234,WR/FLEX,3200,SEA@WAS 09/27/2026 01:00PM ET,WAS,2.6,
WR,Ashton Dulin (44248236),Ashton Dulin,44248236,WR/FLEX,3200,HOU@IND 09/27/2026 01:00PM ET,IND,0,Q
WR,Ryan Miller (44248238),Ryan Miller,44248238,WR/FLEX,3200,KC@MIA 09/27/2026 01:00PM ET,MIA,7.4,Q
TE,Colby Parkinson (44248638),Colby Parkinson,44248638,TE/FLEX,3200,LAR@DEN 09/27/2026 08:20PM ET,LAR,2.6,Q
TE,Noah Fant (44248640),Noah Fant,44248640,TE/FLEX,3200,LV@NO 09/27/2026 04:25PM ET,NO,6.7,
TE,T.J. Hockenson (44248642),T.J. Hockenson,44248642,TE/FLEX,3200,MIN@TB 09/27/2026 04:05PM ET,MIN,9.8,
DST,Eagles (44248944),Eagles,44248944,DST,3200,PHI@CHI 09/28/2026 08:15PM ET,PHI,3,
DST,Texans (44248945),Texans,44248945,DST,3200,HOU@IND 09/27/2026 01:00PM ET,HOU,2,
WR,Darius Cooper (44248240),Darius Cooper,44248240,WR/FLEX,3100,PHI@CHI 09/28/2026 08:15PM ET,PHI,5.3,
WR,Jordan Watkins (44248242),Jordan Watkins,44248242,WR/FLEX,3100,ARI@SF 09/27/2026 04:05PM ET,SF,0,
WR,Laquon Treadwell (44248244),Laquon Treadwell,44248244,WR/FLEX,3100,HOU@IND 09/27/2026 01:00PM ET,IND,4.6,
WR,Jared Wayne (44248246),Jared Wayne,44248246,WR/FLEX,3100,HOU@IND 09/27/2026 01:00PM ET,HOU,3.8,
WR,Travis Hunter (44248248),Travis Hunter,44248248,WR/FLEX,3100,NE@JAX 09/27/2026 01:00PM ET,JAX,1.1,
WR,Chris Moore (44248250),Chris Moore,44248250,WR/FLEX,3100,BAL@DAL 09/27/2026 04:25PM ET,BAL,4,Q
TE,Evan Engram (44248644),Evan Engram,44248644,TE/FLEX,3100,LAR@DEN 09/27/2026 08:20PM ET,DEN,8.5,
TE,AJ Barner (44248646),AJ Barner,44248646,TE/FLEX,3100,SEA@WAS 09/27/2026 01:00PM ET,SEA,5.6,
TE,Cade Otton (44248648),Cade Otton,44248648,TE/FLEX,3100,MIN@TB 09/27/2026 04:05PM ET,TB,7.2,
DST,Rams (44248946),Rams,44248946,DST,3100,LAR@DEN 09/27/2026 08:20PM ET,LAR,6.5,
DST,Vikings (44248947),Vikings,44248947,DST,3100,MIN@TB 09/27/2026 04:05PM ET,MIN,12.5,
TE,Zach Ertz (44270348),Zach Ertz,44270348,TE/FLEX,3100,PHI@CHI 09/28/2026 08:15PM ET,PHI,0,
WR,Elijah Moore (44248252),Elijah Moore,44248252,WR/FLEX,3000,PHI@CHI 09/28/2026 08:15PM ET,PHI,0,
WR,Britain Covey (44248254),Britain Covey,44248254,WR/FLEX,3000,PHI@CHI 09/28/2026 08:15PM ET,PHI,0,
WR,Johnny Wilson (44248256),Johnny Wilson,44248256,WR/FLEX,3000,PHI@CHI 09/28/2026 08:15PM ET,PHI,0,IR
WR,Xavier Gipson (44248258),Xavier Gipson,44248258,WR/FLEX,3000,PHI@CHI 09/28/2026 08:15PM ET,PHI,0,
WR,Zavion Thomas (44248260),Zavion Thomas,44248260,WR/FLEX,3000,PHI@CHI 09/28/2026 08:15PM ET,CHI,0,
WR,JP Richardson (44248262),JP Richardson,44248262,WR/FLEX,3000,PHI@CHI 09/28/2026 08:15PM ET,CHI,0,
WR,Scotty Miller (44248264),Scotty Miller,44248264,WR/FLEX,3000,PHI@CHI 09/28/2026 08:15PM ET,CHI,0,
WR,Kaden Davis (44248266),Kaden Davis,44248266,WR/FLEX,3000,PHI@CHI 09/28/2026 08:15PM ET,CHI,0,
WR,Konata Mumpfield (44248268),Konata Mumpfield,44248268,WR/FLEX,3000,LAR@DEN 09/27/2026 08:20PM ET,LAR,1.1,
WR,Xavier Smith (44248270),Xavier Smith,44248270,WR/FLEX,3000,LAR@DEN 09/27/2026 08:20PM ET,LAR,0,
WR,CJ Daniels (44248272),CJ Daniels,44248272,WR/FLEX,3000,LAR@DEN 09/27/2026 08:20PM ET,LAR,0,
WR,Brennan Presley (44248274),Brennan Presley,44248274,WR/FLEX,3000,LAR@DEN 09/27/2026 08:20PM ET,LAR,0,
WR,Alex Bachman (44248276),Alex Bachman,44248276,WR/FLEX,3000,LAR@DEN 09/27/2026 08:20PM ET,LAR,0,
WR,Lil'Jordan Humphrey (44248278),Lil'Jordan Humphrey,44248278,WR/FLEX,3000,LAR@DEN 09/27/2026 08:20PM ET,DEN,0,
WR,Kolbe Katsis (44248280),Kolbe Katsis,44248280,WR/FLEX,3000,LAR@DEN 09/27/2026 08:20PM ET,DEN,0,
WR,Michael Bandy (44248282),Michael Bandy,44248282,WR/FLEX,3000,LAR@DEN 09/27/2026 08:20PM ET,DEN,0,
WR,Dane Key (44248284),Dane Key,44248284,WR/FLEX,3000,LAR@DEN 09/27/2026 08:20PM ET,DEN,0,
WR,Barion Brown (44248286),Barion Brown,44248286,WR/FLEX,3000,LV@NO 09/27/2026 04:25PM ET,NO,0.2,Q
WR,Bryce Lance (44248288),Bryce Lance,44248288,WR/FLEX,3000,LV@NO 09/27/2026 04:25PM ET,NO,4.5,
WR,Jordyn Tyson (44248290),Jordyn Tyson,44248290,WR/FLEX,3000,LV@NO 09/27/2026 04:25PM ET,NO,0,IR
WR,Mason Tipton (44248292),Mason Tipton,44248292,WR/FLEX,3000,LV@NO 09/27/2026 04:25PM ET,NO,0,OUT
WR,Trey Palmer (44248294),Trey Palmer,44248294,WR/FLEX,3000,LV@NO 09/27/2026 04:25PM ET,NO,0,
WR,Kyrese Rowan (44248296),Kyrese Rowan,44248296,WR/FLEX,3000,LV@NO 09/27/2026 04:25PM ET,NO,0,
WR,Jalen Moreno-Cropper (44248298),Jalen Moreno-Cropper,44248298,WR/FLEX,3000,LV@NO 09/27/2026 04:25PM ET,NO,0,
WR,Kevin Austin Jr. (44248300),Kevin Austin Jr.,44248300,WR/FLEX,3000,LV@NO 09/27/2026 04:25PM ET,NO,0.9,
WR,Cedric Tillman (44248302),Cedric Tillman,44248302,WR/FLEX,3000,LV@NO 09/27/2026 04:25PM ET,NO,0,
